Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69281977e326dea690b12c28,66c0a17a8b1338ad3f23b9c4,APPROVED,Not Applicable,2025-11-27T09:27:23.660000Z,2025-11-27T09:54:00.606000Z,2025-11-28T08:28:51.839000Z,2025-11-27T09:54:00.990005Z,1597.0,C1O7Z4LJ,136,42,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
69281c8a1f320ef07596d6d6,678fbad3835aa01084017ebc,APPROVED,Not Applicable,2025-11-27T09:40:48.667000Z,2025-11-27T10:12:52.699000Z,2025-11-28T08:28:52.761000Z,2025-11-27T10:12:53.048076Z,1925.0,C1O7Z4LJ,295,27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
69281e82b7ffec54deb740b2,660453c9877e571d12b555f7,APPROVED,Not Applicable,2025-11-27T09:54:17.770000Z,2025-11-27T10:37:24.097000Z,2025-11-28T08:28:53.760000Z,2025-11-27T10:37:24.455347Z,2587.0,C1O7Z4LJ,3594,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
69282eee696bd7bf6ec45100,67c2e7b2821be870e6f00fbe,APPROVED,Not Applicable,2025-11-27T11:07:12.400000Z,2025-11-27T11:51:44.889000Z,2025-11-28T08:28:54.992000Z,2025-11-27T11:51:45.295637Z,2673.0,C1O7Z4LJ,564,52,Female,Black,South Africa,South Africa,South Africa,Other,DATA_EXPIRED,Full-Time
69283464a410d44da4ce81bd,6665c5a5387f809670d7d39b,APPROVED,Not Applicable,2025-11-27T11:32:06.888000Z,2025-11-27T12:41:44.051000Z,2025-11-28T08:28:55.970000Z,2025-11-27T12:41:44.568814Z,4178.0,C1O7Z4LJ,599,33,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
69281a7a482eed5539d46230,64fe1a8cb414942c9303fd98,RETURNED,Not Applicable,2025-11-27T09:31:38.326000Z,2025-11-27T09:55:27.244000Z,,2025-11-27T09:55:27.703000Z,,C1O7Z4LJ,756,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69281c6792dd1e408415db44,60f9de2d1846b79ba86bf597,RETURNED,Not Applicable,2025-11-27T09:39:51.160000Z,,,,,,432,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
