Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69281a115876bfbd9efa15a2,65ca7f540412aa5ff7e4a69f,APPROVED,Not Applicable,2025-11-27T09:29:55.630000Z,2025-11-27T09:44:51.069000Z,2025-11-28T08:29:09.102000Z,2025-11-27T09:44:51.426506Z,896.0,C1O7Z4LJ,370,33,Male,White,Italy,Norway,Italy,Italian,No,Full-Time
69281a75eb662e92b951fe55,67d00906b300bb28b2af1453,APPROVED,Not Applicable,2025-11-27T09:31:36.084000Z,2025-11-27T10:21:43.931000Z,2025-11-28T08:29:10.200000Z,2025-11-27T10:21:44.386577Z,3008.0,C1O7Z4LJ,262,26,Male,Black,South Africa,South Africa,South Africa,Other,No,DATA_EXPIRED
69281a99f2454bce4066ea04,6787d9bc5659757828c2a609,APPROVED,Not Applicable,2025-11-27T09:32:09.891000Z,2025-11-27T10:44:07.501000Z,2025-11-28T08:29:11.159000Z,2025-11-27T10:45:39.185669Z,4318.0,C1O7Z4LJ,585,31,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
69281aa95d1e7b4e3ad79dfd,67d005119524a1e1d28a2699,APPROVED,Not Applicable,2025-11-27T09:32:25.897000Z,2025-11-27T10:17:06.389000Z,2025-11-28T08:29:12.108000Z,2025-11-27T10:17:06.732515Z,2681.0,C1O7Z4LJ,497,32,Male,Black,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
69281cbcd8312a07f1707a05,677a91a9eb9f82781c3bf007,APPROVED,Not Applicable,2025-11-27T09:41:16.258000Z,2025-11-27T10:44:09.789000Z,2025-11-28T08:29:13.084000Z,2025-11-27T10:44:10.274748Z,3774.0,C1O7Z4LJ,497,65,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
692819e8f2454bce4066e9f7,67f133dcba790167d0027963,RETURNED,Not Applicable,2025-11-27T09:29:32.237000Z,,,,,,415,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
