Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69281a4502f663377647bdef,5ca0ab814a839d0001e78bde,APPROVED,Not Applicable,2025-11-27T09:30:45.123000Z,2025-11-27T10:33:38.737000Z,2025-11-28T08:28:29.749000Z,2025-11-27T10:33:39.085971Z,3774,C1O7Z4LJ,559,25,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
69281a475d1e7b4e3ad79df7,5d6eb94fb861b60001e7760c,APPROVED,Not Applicable,2025-11-27T09:32:08.733000Z,2025-11-27T09:57:12.508000Z,2025-11-28T08:28:32.151000Z,2025-11-27T09:57:12.882356Z,1504,C1O7Z4LJ,980,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69281a47d24311851f517be6,61655d53d3534630131522c3,APPROVED,Not Applicable,2025-11-27T09:31:31.776000Z,2025-11-27T10:16:05.141000Z,2025-11-28T08:28:31.461000Z,2025-11-27T10:16:05.482624Z,2674,C1O7Z4LJ,262,27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
69281b3deb20c4354b8bc62a,65fafe2b603298c26c3b4476,APPROVED,Not Applicable,2025-11-27T09:34:53.265000Z,2025-11-27T10:12:30.013000Z,2025-11-28T08:28:30.605000Z,2025-11-27T10:12:30.376437Z,2257,C1O7Z4LJ,332,27,Male,Black,Kenya,Kenya,Kenya,English,No,Part-Time
69281ba0af90fe0d6648cad5,69186d74d140f481360d8dc7,APPROVED,Not Applicable,2025-11-27T09:39:22.046000Z,2025-11-27T10:36:44.469000Z,2025-11-28T08:28:32.982000Z,2025-11-27T10:36:44.962914Z,3443,C1O7Z4LJ,8,54,Male,White,Israel,Israel,Israel,Hebrew,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
